lncRNA,target
ABHD15-AS1,CEP70
ABHD15-AS1,CFDP1
ABHD15-AS1,CDC73
ABHD15-AS1,CEP128
ABHD15-AS1,CHCHD2
ABHD15-AS1,CEP57
ABHD15-AS1,CHCHD10
ABHD15-AS1,CDK14
ABHD15-AS1,CFL1
ABHD15-AS1,CERS4
ABHD15-AS1,CHCHD3
ABHD15-AS1,CELF5
ABHD15-AS1,CHCHD6
ABHD15-AS1,CEP95
ABHD15-AS1,CD47
ABHD15-AS1,CERS5
ABHD15-AS1,CDIN1
ABHD15-AS1,CFAP221
ABHD15-AS1,CDKL1
ABHD15-AS1,CHGA
ABHD15-AS1,CES4A
ABHD15-AS1,CEP164
ABHD15-AS1,CHGB
ABHD15-AS1,CDHR3
ABHD15-AS1,CCSER2
ABHD15-AS1,CHKA
ABHD15-AS1,CDH11
ABHD15-AS1,CDH4
ABHD15-AS1,CHD1L
ABHD15-AS1,CELF3
ABHD15-AS1,CDK19
ABHD15-AS1,CKB
ABHD15-AS1,CHN2
ABHD15-AS1,CEP126
ABHD15-AS1,CD46
ABHD15-AS1,CCDC50
ABHD15-AS1,CHN1
ABHD15-AS1,CKMT1B
ABHD15-AS1,CCDC82
ABHD15-AS1,CHST1
ABHD15-AS1,CEMIP2
ABHD15-AS1,CIRBP
ABHD15-AS1,CERCAM
ABHD15-AS1,CHSY3
ABHD15-AS1,CEPT1
ABHD15-AS1,CEP170
ABHD15-AS1,CLASRP
ABHD15-AS1,CLDN11
ABHD15-AS1,CDYL2
ABHD15-AS1,CDH13
ABHD15-AS1,CCP110
ABHD15-AS1,CLPTM1
ABHD15-AS1,CHORDC1
ABHD15-AS1,CEP85L
ABHD15-AS1,CLIP3
ABHD15-AS1,CLTB
ABHD15-AS1,CENPC
ABHD15-AS1,CMAS
ABHD15-AS1,CLTA
ABHD15-AS1,CHD4
ABHD15-AS1,CEP295
ABHD15-AS1,CLK1
ABHD15-AS1,CHST15
ABHD15-AS1,CHIC1
ABHD15-AS1,CLU
ABHD15-AS1,CLCN7
ABHD15-AS1,CMPK1
ABHD15-AS1,CNN3
ABHD15-AS1,CHM
ABHD15-AS1,CNIH3
ABHD15-AS1,CEP192
ABHD15-AS1,CLSTN3
ABHD15-AS1,CDH6
ABHD15-AS1,CNOT10
ABHD15-AS1,CDK12
ABHD15-AS1,CNRIP1
ABHD15-AS1,CERS6
ABHD15-AS1,CLIP2
ABHD15-AS1,CHST11
ABHD15-AS1,CMIP
ABHD15-AS1,CHRM2
ABHD15-AS1,CELF1
ABHD15-AS1,CHL1
ABHD15-AS1,CLSTN1
ABHD15-AS1,CMSS1
ABHD15-AS1,CNTN6
ABHD15-AS1,CNDP1
ABHD15-AS1,CNOT4
ABHD15-AS1,CLASP2
ABHD15-AS1,CENPP
ABHD15-AS1,COMMD1
ABHD15-AS1,COA1
ABHD15-AS1,CMC1
ABHD15-AS1,COMMD10
ABHD15-AS1,COL26A1
ABHD15-AS1,COG7
ABHD15-AS1,CLIP1
ABHD15-AS1,COMMD6
ABHD15-AS1,COPRS
ABHD15-AS1,CHD3
ABHD15-AS1,COPS9
ABHD15-AS1,CLASP1
ABHD15-AS1,COP1
ABHD15-AS1,CERT1
ABHD15-AS1,CEP97
ABHD15-AS1,COX5B
ABHD15-AS1,CNTNAP1
ABHD15-AS1,COX6B1
ABHD15-AS1,COX7A2
ABHD15-AS1,COPS4
ABHD15-AS1,CLCN3
ABHD15-AS1,COG6
ABHD15-AS1,COMT
ABHD15-AS1,CLCN4
ABHD15-AS1,CNP
ABHD15-AS1,COG5
ABHD15-AS1,COX7C
ABHD15-AS1,CEP63
ABHD15-AS1,COPS8
ABHD15-AS1,CLEC16A
ABHD15-AS1,CNST
ABHD15-AS1,COPG2
ABHD15-AS1,CNTN4
ABHD15-AS1,CPE
ABHD15-AS1,CNTN3
ABHD15-AS1,CPLX1
ABHD15-AS1,CNNM1
ABHD15-AS1,COX7B
ABHD15-AS1,CORO6
ABHD15-AS1,COLGALT2
ABHD15-AS1,COX4I1
ABHD15-AS1,COX7A2L
ABHD15-AS1,CRADD
ABHD15-AS1,CHD1
ABHD15-AS1,CORO2B
ABHD15-AS1,CPT1C
ABHD15-AS1,CPOX
ABHD15-AS1,CHD8
ABHD15-AS1,CORO1C
ABHD15-AS1,CRIP2
ABHD15-AS1,CLYBL
ABHD15-AS1,CRLF1
ABHD15-AS1,COL5A3
ABHD15-AS1,COL16A1
ABHD15-AS1,CREM
ABHD15-AS1,CNR1
ABHD15-AS1,CPNE5
ABHD15-AS1,CNKSR2
ABHD15-AS1,CNTN2
ABHD15-AS1,CRYM
ABHD15-AS1,CPSF7
ABHD15-AS1,CNTNAP4
ABHD15-AS1,CPNE3
ABHD15-AS1,CNTN5
ABHD15-AS1,COBL
ABHD15-AS1,CRYL1
ABHD15-AS1,CPLX2
ABHD15-AS1,CRACDL
ABHD15-AS1,CRYAB
ABHD15-AS1,CSAD
ABHD15-AS1,CRMP1
ABHD15-AS1,CLIP4
ABHD15-AS1,CRELD1
ABHD15-AS1,CRK
ABHD15-AS1,CSGALNACT2
ABHD15-AS1,CSTB
ABHD15-AS1,CSTPP1
ABHD15-AS1,COL4A5
ABHD15-AS1,CSNK1E
ABHD15-AS1,CTNNAL1
ABHD15-AS1,CRY2
ABHD15-AS1,CST3
ABHD15-AS1,COL24A1
ABHD15-AS1,CPNE4
ABHD15-AS1,CMTM4
ABHD15-AS1,CSNK1G3
ABHD15-AS1,CLTC
ABHD15-AS1,CTXN1
ABHD15-AS1,CREG2
ABHD15-AS1,COL5A2
ABHD15-AS1,COPS2
ABHD15-AS1,CNTNAP3B
ABHD15-AS1,CTNNBL1
ABHD15-AS1,CUTA
ABHD15-AS1,CRBN
ABHD15-AS1,COL11A1
ABHD15-AS1,CSPG5
ABHD15-AS1,CTDSPL
ABHD15-AS1,CTSF
ABHD15-AS1,CPEB3
ABHD15-AS1,CRTC3
ABHD15-AS1,CTBP1
ABHD15-AS1,CTNNB1
ABHD15-AS1,CNOT1
ABHD15-AS1,CTTN
ABHD15-AS1,CYSTM1
ABHD15-AS1,CREBZF
ABHD15-AS1,CTNNA2
ABHD15-AS1,CUL1
ABHD15-AS1,CRPPA
ABHD15-AS1,CXXC5
ABHD15-AS1,CRIM1
