ligand,receptor
CALC1,PTH1R
CALC1,RAMP1
CALC1,RAMP2
CALC1,RAMP3
CALC1,TSHR
CALC1,VIPR1
CALCA,ACKR3
CALCA,ADCYAP1R1
CALCA,ADRB2
CALCA,ADRB3
CALCA,CALCR
CALCA,CALCRL
CALCA,DCLK3
CALCA,GPR20
CALCA,GPR84
CALCA,PTH1R
CALCA,RAMP1
CALCA,RAMP2
CALCA,RAMP3
CALCA,TSHR
CALCA,VIPR1
CALCB,ADCYAP1R1
CALCB,ADRB2
CALCB,ADRB3
CALCB,CALCR
CALCB,CALCRL
CALCB,GPR20
CALCB,GPR84
CALCB,PTH1R
CALCB,RAMP1
CALCB,RAMP2
CALCB,RAMP3
CALCB,TSHR
CALCB,VIPR1
CALM1,ABCA1
CALM1,ADCY8
CALM1,ADCYAP1R1
CALM1,AQP1
CALM1,AQP6
CALM1,CACNA1C
CALM1,CALCR
CALM1,CNGA2
CALM1,CRHR1
CALM1,EGFR
CALM1,FAS
CALM1,GLP1R
CALM1,GLP2R
CALM1,GP6
CALM1,GRM3
CALM1,GRM4
CALM1,GRM5
CALM1,GRM7
CALM1,HMMR
CALM1,HTR2C
CALM1,INSR
CALM1,KCNN4
CALM1,KCNQ1
CALM1,KCNQ3
CALM1,KCNQ5
CALM1,MIP
CALM1,MYLK
CALM1,MYLK2
CALM1,OPRM1
CALM1,PDE1A
CALM1,PDE1B
CALM1,PDE1C
CALM1,PLPP6
CALM1,PTH2R
CALM1,PTPRA
CALM1,RYR2
CALM1,SCN10A
CALM1,SCN4A
CALM1,SCTR
CALM1,SELL
CALM1,TRPC3
CALM1,TRPC5
CALM1,VIPR1
CALM2,ABCA1
CALM2,ADCY8
CALM2,AQP1
CALM2,AQP6
CALM2,CACNA1C
CALM2,EGFR
CALM2,GP6
CALM2,GRM5
CALM2,GRM7
CALM2,INSR
CALM2,KCNQ1
CALM2,KCNQ3
CALM2,KCNQ5
CALM2,MYLK
CALM2,MYLK2
CALM2,PDE1A
CALM2,PDE1B
